Chromosome/scaffold name,Strand,Transcript start (bp),Transcript end (bp),5' UTR end,3' UTR start,Gene stable ID,Gene name,Transcript stable ID,Protein stable ID
III,1,643347,649578,,649417,SPCC5E4.04,cut1,SPCC5E4.04.1,SPCC5E4.04.1:pep
II,-1,623323,624091,624091,,SPBC839.13c,rpl1601,SPBC839.13c.1,SPBC839.13c.1:pep
II,-1,623323,624091,,623323,SPBC839.13c,rpl1601,SPBC839.13c.1,SPBC839.13c.1:pep
III,-1,660740,661264,661264,,SPCC16C4.20c,hap2,SPCC16C4.20c.1,SPCC16C4.20c.1:pep
III,-1,660740,661264,,,SPCC16C4.20c,hap2,SPCC16C4.20c.1,SPCC16C4.20c.1:pep
III,-1,660740,661264,,660740,SPCC16C4.20c,hap2,SPCC16C4.20c.1,SPCC16C4.20c.1:pep
II,-1,626004,627556,627556,626004,SPBC839.15c,tef103,SPBC839.15c.1,SPBC839.15c.1:pep
II,1,627934,631710,628029,,SPBC839.16,thf1,SPBC839.16.1,SPBC839.16.1:pep
II,1,627934,631710,,,SPBC839.16,thf1,SPBC839.16.1,SPBC839.16.1:pep
II,1,627934,631710,,631172,SPBC839.16,thf1,SPBC839.16.1,SPBC839.16.1:pep
III,1,679259,684083,680361,683563,SPCC16C4.09,sts5,SPCC16C4.09.1,SPCC16C4.09.1:pep
II,-1,676633,679966,679966,676633,SPBC947.02,apl2,SPBC947.02.1,SPBC947.02.1:pep
III,1,689542,690427,689567,,SPCC16C4.12,naa20,SPCC16C4.12.1,SPCC16C4.12.1:pep
III,1,689542,690427,,690168,SPCC16C4.12,naa20,SPCC16C4.12.1,SPCC16C4.12.1:pep
III,1,698826,700064,699037,699746,SPCC16C4.17,mug123,SPCC16C4.17.1,SPCC16C4.17.1:pep
I,1,419958,423991,420465,,SPAC31A2.16,gef2,SPAC31A2.16.1,SPAC31A2.16.1:pep
I,1,419958,423991,,,SPAC31A2.16,gef2,SPAC31A2.16.1,SPAC31A2.16.1:pep
I,1,419958,423991,,,SPAC31A2.16,gef2,SPAC31A2.16.1,SPAC31A2.16.1:pep
I,1,419958,423991,,423904,SPAC31A2.16,gef2,SPAC31A2.16.1,SPAC31A2.16.1:pep
II,1,684100,685682,684142,,SPBPJ4664.01,dps1,SPBPJ4664.01.1,SPBPJ4664.01.1:pep
II,1,684100,685682,,685361,SPBPJ4664.01,dps1,SPBPJ4664.01.1,SPBPJ4664.01.1:pep
II,-1,700027,701807,,,SPNCRNA.1381,mfm3-antisense-1,SPNCRNA.1381.1,
III,-1,726794,728895,728895,726794,SPCC18B5.05c,SPCC18B5.05c,SPCC18B5.05c.1,SPCC18B5.05c.1:pep
III,-1,747501,748632,748632,,SPCC14G10.03c,ump1,SPCC14G10.03c.1,SPCC14G10.03c.1:pep
III,-1,747501,748632,,747501,SPCC14G10.03c,ump1,SPCC14G10.03c.1,SPCC14G10.03c.1:pep
I,1,430056,431032,430129,430877,SPAC13C5.04,SPAC13C5.04,SPAC13C5.04.1,SPAC13C5.04.1:pep
II,1,719585,720990,719805,720253,SPBC119.04,mei3,SPBC119.04.1,SPBC119.04.1:pep
I,-1,434102,435179,435179,,SPAC13C5.06c,mug121,SPAC13C5.06c.1,SPAC13C5.06c.1:pep
I,-1,434102,435179,,434102,SPAC13C5.06c,mug121,SPAC13C5.06c.1,SPAC13C5.06c.1:pep
III,1,755228,756290,755256,,SPCC1020.12c,xap5,SPCC1020.12c.1,SPCC1020.12c.1:pep
III,1,755228,756290,,756187,SPCC1020.12c,xap5,SPCC1020.12c.1,SPCC1020.12c.1:pep
II,1,734996,737295,735288,,SPBC119.10,asn1,SPBC119.10.1,SPBC119.10.1:pep
II,1,734996,737295,735415,737090,SPBC119.10,asn1,SPBC119.10.1,SPBC119.10.1:pep
I,1,446491,450726,,,SPAC23E2.02,lsd2,SPAC23E2.02.1,SPAC23E2.02.1:pep
I,1,446491,450726,,,SPAC23E2.02,lsd2,SPAC23E2.02.1,SPAC23E2.02.1:pep
I,1,446491,450726,,450531,SPAC23E2.02,lsd2,SPAC23E2.02.1,SPAC23E2.02.1:pep
III,-1,758368,762656,762656,758368,SPCC1020.10,oca2,SPCC1020.10.1,SPCC1020.10.1:pep
II,1,740220,741876,740274,741481,SPBC119.12,rud3,SPBC119.12.1,SPBC119.12.1:pep
III,-1,765936,767541,767541,765936,SPCC1020.09,gnr1,SPCC1020.09.1,SPCC1020.09.1:pep
II,1,782740,783173,,,SPNCRNA.327,SPNCRNA.327,SPNCRNA.327.1,
II,1,831524,832704,,,SPNCRNA.329,SPNCRNA.329,SPNCRNA.329.1,
I,-1,456931,460811,460811,456931,SPAC24H6.13,SPAC24H6.13,SPAC24H6.13.1,SPAC24H6.13.1:pep
III,-1,774790,777899,777899,774790,SPCC1020.05,SPCC1020.05,SPCC1020.05.1,SPCC1020.05.1:pep
III,1,811693,814708,812654,814329,SPCC1393.08,SPCC1393.08,SPCC1393.08.1,SPCC1393.08.1:pep
I,-1,469981,472993,472993,,SPAC24H6.09,gef1,SPAC24H6.09.1,SPAC24H6.09.1:pep
I,-1,469981,472993,,469981,SPAC24H6.09,gef1,SPAC24H6.09.1,SPAC24H6.09.1:pep
III,1,867227,869260,867995,868983,SPCC16A11.01,sfk1,SPCC16A11.01.1,SPCC16A11.01.1:pep
II,-1,843017,845684,845684,843017,SPBC36.03c,mfs3,SPBC36.03c.1,SPBC36.03c.1:pep
II,-1,845622,846322,846322,845622,SPBC36.13,SPBC36.13,SPBC36.13.1,SPBC36.13.1:pep
III,-1,885686,886972,886972,885686,SPCC16A11.09c,tim23,SPCC16A11.09c.1,SPCC16A11.09c.1:pep
I,-1,475354,476128,476128,,SPAC24H6.07,rps901,SPAC24H6.07.1,SPAC24H6.07.1:pep
I,-1,475354,476128,,475354,SPAC24H6.07,rps901,SPAC24H6.07.1,SPAC24H6.07.1:pep
III,-1,895866,895962,,,SPNCRNA.126,SPNCRNA.126,SPNCRNA.126.1,
II,-1,873265,876158,876158,873265,SPBC713.04c,pwp2,SPBC713.04c.1,SPBC713.04c.1:pep
II,-1,889557,891152,891152,889557,SPBC713.14c,SPBC713.14c,SPBC713.14c.1,SPBC713.14c.1:pep
II,1,890907,892096,,,SPNCRNA.332,SPNCRNA.332,SPNCRNA.332.1,
III,-1,897608,899248,899248,,SPCC16A11.16c,rpn1302,SPCC16A11.16c.1,SPCC16A11.16c.1:pep
III,-1,897608,899248,,,SPCC16A11.16c,rpn1302,SPCC16A11.16c.1,SPCC16A11.16c.1:pep
III,-1,897608,899248,,897608,SPCC16A11.16c,rpn1302,SPCC16A11.16c.1,SPCC16A11.16c.1:pep
II,1,926760,928797,926849,,SPBC646.03,her2,SPBC646.03.1,SPBC646.03.1:pep
II,1,926760,928797,,,SPBC646.03,her2,SPBC646.03.1,SPBC646.03.1:pep
II,1,926760,928797,,928359,SPBC646.03,her2,SPBC646.03.1,SPBC646.03.1:pep
I,-1,485723,488811,488811,,SPAC24H6.03,cul3,SPAC24H6.03.1,SPAC24H6.03.1:pep
I,-1,485723,488811,,,SPAC24H6.03,cul3,SPAC24H6.03.1,SPAC24H6.03.1:pep
I,-1,485723,488811,,,SPAC24H6.03,cul3,SPAC24H6.03.1,SPAC24H6.03.1:pep
I,-1,485723,488811,,,SPAC24H6.03,cul3,SPAC24H6.03.1,SPAC24H6.03.1:pep
I,-1,485723,488811,,,SPAC24H6.03,cul3,SPAC24H6.03.1,SPAC24H6.03.1:pep
I,-1,485723,488811,,,SPAC24H6.03,cul3,SPAC24H6.03.1,SPAC24H6.03.1:pep
I,-1,485723,488811,,485723,SPAC24H6.03,cul3,SPAC24H6.03.1,SPAC24H6.03.1:pep
III,-1,915040,916824,916824,915040,SPCC24B10.08c,ada2,SPCC24B10.08c.1,SPCC24B10.08c.1:pep
III,1,947262,947335,,,SPCTRNAASN.05,SPCTRNAASN.05,SPCTRNAASN.05.1,
II,-1,936013,938201,938201,936013,SPBC646.08c,SPBC646.08c,SPBC646.08c.1,SPBC646.08c.1:pep
III,1,1045458,1047457,1045466,,SPCC1259.07,rxt3,SPCC1259.07.1,SPCC1259.07.1:pep
III,1,1045458,1047457,,1046569,SPCC1259.07,rxt3,SPCC1259.07.1,SPCC1259.07.1:pep
I,1,488339,489482,488778,,SPAC24H6.02c,tim15,SPAC24H6.02c.1,SPAC24H6.02c.1:pep
I,1,488339,489482,,489351,SPAC24H6.02c,tim15,SPAC24H6.02c.1,SPAC24H6.02c.1:pep
II,-1,940703,942434,942434,940703,SPBC646.10c,nop56,SPBC646.10c.1,SPBC646.10c.1:pep
I,-1,510410,511433,511433,,SPAC227.08c,yth1,SPAC227.08c.1,SPAC227.08c.1:pep
I,-1,510410,511433,,,SPAC227.08c,yth1,SPAC227.08c.1,SPAC227.08c.1:pep
I,-1,510410,511433,,510410,SPAC227.08c,yth1,SPAC227.08c.1,SPAC227.08c.1:pep
II,1,949972,950606,,,SPNCRNA.335,SPNCRNA.335,SPNCRNA.335.1,
I,-1,513967,517252,517252,,SPAC227.11c,yos9,SPAC227.11c.1,SPAC227.11c.1:pep
I,-1,513967,517252,,,SPAC227.11c,yos9,SPAC227.11c.1,SPAC227.11c.1:pep
I,-1,513967,517252,,513967,SPAC227.11c,yos9,SPAC227.11c.1,SPAC227.11c.1:pep
II,1,957614,958637,957657,958393,SPBC646.16,scl1,SPBC646.16.1,SPBC646.16.1:pep
I,1,541795,543483,,,SPNCRNA.552,pol4-antisense-1,SPNCRNA.552.1,
II,1,960729,960800,,,SPBTRNAHIS.02,SPBTRNAHIS.02,SPBTRNAHIS.02.1,
III,1,1059799,1064443,1060019,,SPCC1259.13,chk1,SPCC1259.13.1,SPCC1259.13.1:pep
III,1,1059799,1064443,,,SPCC1259.13,chk1,SPCC1259.13.1,SPCC1259.13.1:pep
III,1,1059799,1064443,,,SPCC1259.13,chk1,SPCC1259.13.1,SPCC1259.13.1:pep
III,1,1059799,1064443,,,SPCC1259.13,chk1,SPCC1259.13.1,SPCC1259.13.1:pep
III,1,1059799,1064443,,,SPCC1259.13,chk1,SPCC1259.13.1,SPCC1259.13.1:pep
III,1,1059799,1064443,,,SPCC1259.13,chk1,SPCC1259.13.1,SPCC1259.13.1:pep
III,1,1059799,1064443,,1061776,SPCC1259.13,chk1,SPCC1259.13.1,SPCC1259.13.1:pep
III,1,1059799,1064443,,1062272,SPCC1259.13,chk1,SPCC1259.13.1,SPCC1259.13.1:pep
II,1,963900,968891,966710,967335,SPBP35G2.02,txc1,SPBP35G2.02.1,SPBP35G2.02.1:pep
II,1,963900,968891,,967866,SPBP35G2.02,txc1,SPBP35G2.02.1,SPBP35G2.02.1:pep
III,1,1105609,1105766,,,SPNCRNA.484,SPNCRNA.484,SPNCRNA.484.1,
II,1,976926,979390,977108,979119,SPBP35G2.07,ilv1,SPBP35G2.07.1,SPBP35G2.07.1:pep
III,1,1144468,1144799,,,SPCC4B3.20,cmc2,SPCC4B3.20.1,SPCC4B3.20.1:pep
III,1,1144468,1144799,,,SPCC4B3.20,cmc2,SPCC4B3.20.1,SPCC4B3.20.1:pep
II,-1,982042,983573,,,SPNCRNA.1401,mit1-antisense-1,SPNCRNA.1401.1,
II,1,1010239,1011278,,,SPNCRNA.1404,fan1-antisense-1,SPNCRNA.1404.1,
I,-1,544127,546240,,544127,SPAC2F7.07c,cph2,SPAC2F7.07c.1,SPAC2F7.07c.1:pep
III,-1,1150769,1151773,1151773,1150769,SPCC4B3.14,cwf20,SPCC4B3.14.1,SPCC4B3.14.1:pep
III,1,1156111,1156556,1156205,,SPCC4B3.11c,fra3,SPCC4B3.11c.1,SPCC4B3.11c.1:pep
I,-1,608406,608831,,,SPNCRNA.667,SPNCRNA.667,SPNCRNA.667.1,
III,-1,1156615,1157629,,,SPNCRNA.1175,SPNCRNA.1175,SPNCRNA.1175.1,
I,-1,641845,643775,643775,,SPAC1D4.03c,aut12,SPAC1D4.03c.1,SPAC1D4.03c.1:pep
I,-1,641845,643775,,641845,SPAC1D4.03c,aut12,SPAC1D4.03c.1,SPAC1D4.03c.1:pep
III,1,1160439,1162316,1160509,,SPCC4B3.09c,mrpl12,SPCC4B3.09c.1,SPCC4B3.09c.1:pep
III,1,1160439,1162316,,1161081,SPCC4B3.09c,mrpl12,SPCC4B3.09c.1,SPCC4B3.09c.1:pep
I,-1,644623,648097,648097,,SPAC1D4.05c,SPAC1D4.05c,SPAC1D4.05c.1,SPAC1D4.05c.1:pep
I,-1,644623,648097,,644623,SPAC1D4.05c,SPAC1D4.05c,SPAC1D4.05c.1,SPAC1D4.05c.1:pep
I,-1,660778,664180,,,SPNCRNA.672,SPNCRNA.672,SPNCRNA.672.1,
III,1,1163990,1165874,1165187,1165791,SPCC4B3.06c,SPCC4B3.06c,SPCC4B3.06c.1,SPCC4B3.06c.1:pep
I,-1,664677,665246,,,SPNCRNA.673,rad15-antisense-1,SPNCRNA.673.1,
III,1,1173236,1175650,1173489,1175530,SPCC4B3.03c,SPCC4B3.03c,SPCC4B3.03c.1,SPCC4B3.03c.1:pep
I,1,781348,783419,781486,782036,SPAC4G8.10,gos1,SPAC4G8.10.1,SPAC4G8.10.1:pep
I,1,790798,791645,,,SPNCRNA.685,SPAC16C9.01c-antisense-1,SPNCRNA.685.1,
III,1,1193982,1196023,1194196,,SPCC550.05,nse1,SPCC550.05.1,SPCC550.05.1:pep
III,1,1193982,1196023,,1194944,SPCC550.05,nse1,SPCC550.05.1,SPCC550.05.1:pep
III,1,1200168,1202025,1200988,1201733,SPCC550.08,SPCC550.08,SPCC550.08.1,SPCC550.08.1:pep
III,1,1204315,1206695,1205003,1206507,SPCC550.10,atd3,SPCC550.10.1,SPCC550.10.1:pep
I,1,807894,812194,808027,,SPAC2G11.02,urb2,SPAC2G11.02.1,SPAC2G11.02.1:pep
I,1,807894,812194,,812043,SPAC2G11.02,urb2,SPAC2G11.02.1,SPAC2G11.02.1:pep
I,-1,818362,819834,,,SPNCRNA.688,vps4-antisense-1,SPNCRNA.688.1,
III,1,1211916,1213659,1212007,,SPCC550.12,arp6,SPCC550.12.1,SPCC550.12.1:pep
III,1,1211916,1213659,,,SPCC550.12,arp6,SPCC550.12.1,SPCC550.12.1:pep
III,1,1211916,1213659,,1213357,SPCC550.12,arp6,SPCC550.12.1,SPCC550.12.1:pep
III,1,1214010,1216438,1214445,1216084,SPCC550.13,dfp1,SPCC550.13.1,SPCC550.13.1:pep
I,-1,819768,821920,821920,,SPAC2G11.07c,ptc3,SPAC2G11.07c.1,SPAC2G11.07c.1:pep
I,-1,819768,821920,,,SPAC2G11.07c,ptc3,SPAC2G11.07c.1,SPAC2G11.07c.1:pep
I,-1,819768,821920,,819768,SPAC2G11.07c,ptc3,SPAC2G11.07c.1,SPAC2G11.07c.1:pep
II,1,1013254,1015179,1013554,1015109,SPBC146.07,prp2,SPBC146.07.1,SPBC146.07.1:pep
III,1,1227174,1229303,1227544,1228793,SPCC4E9.02,cig1,SPCC4E9.02.1,SPCC4E9.02.1:pep
II,-1,1014863,1015825,1015825,,SPBC146.08c,tif1102,SPBC146.08c.1,SPBC146.08c.1:pep
II,-1,1014863,1015825,,1014863,SPBC146.08c,tif1102,SPBC146.08c.1,SPBC146.08c.1:pep
III,-1,1261338,1263716,1263716,1261338,SPCC645.14c,sti1,SPCC645.14c.1,SPCC645.14c.1:pep
I,-1,826313,828123,828123,,SPAC2G11.10c,uba42,SPAC2G11.10c.1,SPAC2G11.10c.1:pep
I,-1,826313,828123,,,SPAC2G11.10c,uba42,SPAC2G11.10c.1,SPAC2G11.10c.1:pep
I,-1,826313,828123,,826313,SPAC2G11.10c,uba42,SPAC2G11.10c.1,SPAC2G11.10c.1:pep
II,-1,1040988,1042032,1042032,,SPBC337.06c,cwf15,SPBC337.06c.1,SPBC337.06c.1:pep
II,-1,1040988,1042032,,1040988,SPBC337.06c,cwf15,SPBC337.06c.1,SPBC337.06c.1:pep
III,-1,1264347,1266936,1266936,,SPCC23B6.01c,SPCC23B6.01c,SPCC23B6.01c.1,SPCC23B6.01c.1:pep
III,-1,1264347,1266936,,,SPCC23B6.01c,SPCC23B6.01c,SPCC23B6.01c.1,SPCC23B6.01c.1:pep
III,-1,1264347,1266936,,,SPCC23B6.01c,SPCC23B6.01c,SPCC23B6.01c.1,SPCC23B6.01c.1:pep
III,-1,1264347,1266936,,,SPCC23B6.01c,SPCC23B6.01c,SPCC23B6.01c.1,SPCC23B6.01c.1:pep
III,-1,1264347,1266936,,1264347,SPCC23B6.01c,SPCC23B6.01c,SPCC23B6.01c.1,SPCC23B6.01c.1:pep
I,-1,841471,842624,842624,,SPAC2G11.15c,tgs1,SPAC2G11.15c.1,SPAC2G11.15c.1:pep
I,-1,841471,842624,,,SPAC2G11.15c,tgs1,SPAC2G11.15c.1,SPAC2G11.15c.1:pep
I,-1,841471,842624,,,SPAC2G11.15c,tgs1,SPAC2G11.15c.1,SPAC2G11.15c.1:pep
I,-1,841471,842624,,841471,SPAC2G11.15c,tgs1,SPAC2G11.15c.1,SPAC2G11.15c.1:pep
II,-1,1053622,1054973,1054973,1053622,SPBC337.13c,gtr1,SPBC337.13c.1,SPBC337.13c.1:pep
III,-1,1293804,1296160,1296160,1293804,SPCC1322.05c,SPCC1322.05c,SPCC1322.05c.1,SPCC1322.05c.1:pep
III,1,1341852,1342989,,,SPNCRNA.1187,SPNCRNA.1187,SPNCRNA.1187.1,
I,-1,846022,849480,849480,846022,SPAC521.04c,sst1,SPAC521.04c.1,SPAC521.04c.1:pep
II,1,1066787,1069768,1067091,1068385,SPBC1734.04,anp1,SPBC1734.04.1,SPBC1734.04.1:pep
III,-1,1351474,1354474,1354474,1351474,SPCC338.13,cog4,SPCC338.13.1,SPCC338.13.1:pep
III,1,1354634,1354743,,,SPNCRNA.490,SPNCRNA.490,SPNCRNA.490.1,
III,-1,1355614,1357669,,,SPNCRNA.1188,pbi2-antisense-1,SPNCRNA.1188.1,
II,-1,1087538,1088852,1088852,,SPBC1734.14c,suc1,SPBC1734.14c.1,SPBC1734.14c.1:pep
II,-1,1087538,1088852,,,SPBC1734.14c,suc1,SPBC1734.14c.1,SPBC1734.14c.1:pep
II,-1,1087538,1088852,,1087538,SPBC1734.14c,suc1,SPBC1734.14c.1,SPBC1734.14c.1:pep
II,-1,1094760,1096264,,,SPNCRNA.1410,chs2-antisense-1,SPNCRNA.1410.1,
III,1,1366181,1367705,1366620,,SPCC338.05c,mms2,SPCC338.05c.1,SPCC338.05c.1:pep
III,1,1366181,1367705,,,SPCC338.05c,mms2,SPCC338.05c.1,SPCC338.05c.1:pep
III,1,1366181,1367705,,,SPCC338.05c,mms2,SPCC338.05c.1,SPCC338.05c.1:pep
III,1,1366181,1367705,,,SPCC338.05c,mms2,SPCC338.05c.1,SPCC338.05c.1:pep
III,1,1366181,1367705,,1367478,SPCC338.05c,mms2,SPCC338.05c.1,SPCC338.05c.1:pep
II,1,1106347,1108511,1106455,1108298,SPBC1709.05,sks2,SPBC1709.05.1,SPBC1709.05.1:pep
I,1,850591,854385,850675,,SPAC23G3.01,rpb2,SPAC23G3.01.1,SPAC23G3.01.1:pep
I,1,850591,854385,,854347,SPAC23G3.01,rpb2,SPAC23G3.01.1,SPAC23G3.01.1:pep
II,1,1122785,1126031,1122827,,SPBC1709.12,rid1,SPBC1709.12.1,SPBC1709.12.1:pep
II,1,1122785,1126031,,,SPBC1709.12,rid1,SPBC1709.12.1,SPBC1709.12.1:pep
II,1,1122785,1126031,,,SPBC1709.12,rid1,SPBC1709.12.1,SPBC1709.12.1:pep
II,1,1122785,1126031,,1124286,SPBC1709.12,rid1,SPBC1709.12.1,SPBC1709.12.1:pep
III,1,1373096,1381763,1374171,1381405,SPCC1281.01,ags1,SPCC1281.01.1,SPCC1281.01.1:pep
II,-1,1136612,1137771,1137771,1136612,SPBC1709.19c,nfu1,SPBC1709.19c.1,SPBC1709.19c.1:pep
III,1,1435080,1436649,,,SPCC622.17,apn1,SPCC622.17.1,
III,1,1435080,1436649,,,SPCC622.17,apn1,SPCC622.17.1,
III,1,1435080,1436649,,,SPCC622.17,apn1,SPCC622.17.1,
I,1,870740,872773,870880,,SPAC23G3.03,sib2,SPAC23G3.03.1,SPAC23G3.03.1:pep
I,1,870740,872773,871024,872321,SPAC23G3.03,sib2,SPAC23G3.03.1,SPAC23G3.03.1:pep
II,-1,1185476,1187542,1187542,,SPBC4.02c,SPBC4.02c,SPBC4.02c.1,SPBC4.02c.1:pep
II,-1,1185476,1187542,,,SPBC4.02c,SPBC4.02c,SPBC4.02c.1,SPBC4.02c.1:pep
II,-1,1185476,1187542,,,SPBC4.02c,SPBC4.02c,SPBC4.02c.1,SPBC4.02c.1:pep
II,-1,1185476,1187542,,1185476,SPBC4.02c,SPBC4.02c,SPBC4.02c.1,SPBC4.02c.1:pep
III,-1,1462986,1464422,1464422,1462986,SPCC11E10.06c,elp4,SPCC11E10.06c.1,SPCC11E10.06c.1:pep
III,1,1482007,1482817,,1482274,SPCC188.05,SPCC188.05,SPCC188.05.1,SPCC188.05.1:pep
I,1,885944,889096,887660,,SPAC23G3.11,rpn6,SPAC23G3.11.1,SPAC23G3.11.1:pep
I,1,885944,889096,,,SPAC23G3.11,rpn6,SPAC23G3.11.1,SPAC23G3.11.1:pep
I,1,885944,889096,,889034,SPAC23G3.11,rpn6,SPAC23G3.11.1,SPAC23G3.11.1:pep
III,-1,1492788,1496408,1496408,1492788,SPCC188.09c,pfl4,SPCC188.09c.1,SPCC188.09c.1:pep
II,1,1200564,1203137,1200660,1201975,SPBC725.01,SPBC725.01,SPBC725.01.1,SPBC725.01.1:pep
III,1,1514795,1515142,,,SPCC584.12,mug42,SPCC584.12.1,SPCC584.12.1:pep
III,-1,1547051,1549069,,,SPCC1753.03c,rec7,SPCC1753.03c.1,SPCC1753.03c.1:pep
III,-1,1547051,1549069,,,SPCC1753.03c,rec7,SPCC1753.03c.1,SPCC1753.03c.1:pep
III,-1,1547051,1549069,,1547051,SPCC1753.03c,rec7,SPCC1753.03c.1,SPCC1753.03c.1:pep
II,-1,1224943,1227026,1227026,1224943,SPBC725.11c,php2,SPBC725.11c.1,SPBC725.11c.1:pep
I,1,896668,897900,896876,,SPAC22H12.03,SPAC22H12.03,SPAC22H12.03.1,SPAC22H12.03.1:pep
I,1,896668,897900,,897768,SPAC22H12.03,SPAC22H12.03,SPAC22H12.03.1,SPAC22H12.03.1:pep
I,1,896668,897900,,897829,SPAC22H12.03,SPAC22H12.03,SPAC22H12.03.1,SPAC22H12.03.1:pep
II,-1,1240147,1241248,,,SPNCRNA.1422,SPBC651.02-antisense-1,SPNCRNA.1422.1,
III,1,1556001,1557913,1556106,,SPCC162.11c,SPCC162.11c,SPCC162.11c.1,SPCC162.11c.1:pep
III,1,1556001,1557913,1556444,1557810,SPCC162.11c,SPCC162.11c,SPCC162.11c.1,SPCC162.11c.1:pep
III,1,1559743,1561240,,,SPNCRNA.1205,SPNCRNA.1205,SPNCRNA.1205.1,
III,1,1560068,1561109,,,SPNCRNA.495,SPNCRNA.495,SPNCRNA.495.1,
II,-1,1245920,1247116,1247116,,SPBC651.05c,dot2,SPBC651.05c.1,SPBC651.05c.1:pep
II,-1,1245920,1247116,,1245920,SPBC651.05c,dot2,SPBC651.05c.1,SPBC651.05c.1:pep
III,1,1584118,1587560,1584479,1587426,SPCC162.02c,SPCC162.02c,SPCC162.02c.1,SPCC162.02c.1:pep
I,1,908736,911854,908838,,SPAC1687.05,pli1,SPAC1687.05.1,SPAC1687.05.1:pep
I,1,908736,911854,,911075,SPAC1687.05,pli1,SPAC1687.05.1,SPAC1687.05.1:pep
III,1,1587682,1588649,1587868,1588604,SPCC162.01c,SPCC162.01c,SPCC162.01c.1,SPCC162.01c.1:pep
III,-1,1589996,1593818,,1589996,SPCC13B11.02c,SPCC13B11.02c,SPCC13B11.02c.1,SPCC13B11.02c.1:pep
I,-1,912230,912396,,,SPRRNA.12,SPRRNA.12,SPRRNA.12.1,
II,-1,1255392,1257425,1257425,,SPBC651.09c,prf1,SPBC651.09c.1,SPBC651.09c.1:pep
II,-1,1255392,1257425,,,SPBC651.09c,prf1,SPBC651.09c.1,SPBC651.09c.1:pep
II,-1,1255392,1257425,,1255392,SPBC651.09c,prf1,SPBC651.09c.1,SPBC651.09c.1:pep
III,-1,1596549,1599028,1599028,,SPCC13B11.04c,fmd3,SPCC13B11.04c.1,SPCC13B11.04c.1:pep
III,-1,1596549,1599028,,1596549,SPCC13B11.04c,fmd3,SPCC13B11.04c.1,SPCC13B11.04c.1:pep
I,1,914328,914618,,,SPAC1687.08,SPAC1687.08,SPAC1687.08.1,SPAC1687.08.1:pep
III,-1,1606351,1607953,1607953,,SPCC777.06c,SPCC777.06c,SPCC777.06c.1,SPCC777.06c.1:pep
III,-1,1606351,1607953,,1606351,SPCC777.06c,SPCC777.06c,SPCC777.06c.1,SPCC777.06c.1:pep
I,-1,919783,920837,,,SPNCRNA.696,mcp1-antisense-1,SPNCRNA.696.1,
II,1,1257452,1259192,1257902,1259070,SPBC651.10,nse5,SPBC651.10.1,SPBC651.10.1:pep
II,1,1268093,1268452,,,SPBC31A8.02,SPBC31A8.02,SPBC31A8.02.1,
III,-1,1616592,1618210,1618210,,SPCC777.12c,SPCC777.12c,SPCC777.12c.1,SPCC777.12c.1:pep
III,-1,1616592,1618210,,1616592,SPCC777.12c,SPCC777.12c,SPCC777.12c.1,SPCC777.12c.1:pep
I,-1,932425,934021,934021,932425,SPAC1687.16c,erg31,SPAC1687.16c.1,SPAC1687.16c.1:pep
II,-1,1301597,1304152,1304152,1301597,SPBC30B4.02c,sqs1,SPBC30B4.02c.1,SPBC30B4.02c.1:pep
II,1,1312125,1313175,,,SPNCRNA.346,SPNCRNA.346,SPNCRNA.346.1,
I,-1,936188,938157,938157,,SPAC1687.18c,ssl3,SPAC1687.18c.1,SPAC1687.18c.1:pep
I,-1,936188,938157,,,SPAC1687.18c,ssl3,SPAC1687.18c.1,SPAC1687.18c.1:pep
I,-1,936188,938157,,,SPAC1687.18c,ssl3,SPAC1687.18c.1,SPAC1687.18c.1:pep
I,-1,936188,938157,,936188,SPAC1687.18c,ssl3,SPAC1687.18c.1,SPAC1687.18c.1:pep
II,-1,1319070,1320617,1320617,,SPBC30B4.07c,tfb4,SPBC30B4.07c.1,SPBC30B4.07c.1:pep
II,-1,1319070,1320617,,1319070,SPBC30B4.07c,tfb4,SPBC30B4.07c.1,SPBC30B4.07c.1:pep
III,1,1619331,1622409,1619555,,SPCC777.13,vps35,SPCC777.13.1,SPCC777.13.1:pep
III,1,1619331,1622409,,,SPCC777.13,vps35,SPCC777.13.1,SPCC777.13.1:pep
III,1,1619331,1622409,,,SPCC777.13,vps35,SPCC777.13.1,SPCC777.13.1:pep
III,1,1619331,1622409,,,SPCC777.13,vps35,SPCC777.13.1,SPCC777.13.1:pep
III,1,1619331,1622409,,,SPCC777.13,vps35,SPCC777.13.1,SPCC777.13.1:pep
III,1,1619331,1622409,,1622338,SPCC777.13,vps35,SPCC777.13.1,SPCC777.13.1:pep
II,-1,1341602,1343112,1343112,1341602,SPBC27B12.09c,SPBC27B12.09c,SPBC27B12.09c.1,SPBC27B12.09c.1:pep
III,-1,1625987,1629437,1629437,,SPCC663.01c,ekc1,SPCC663.01c.1,SPCC663.01c.1:pep
III,-1,1625987,1629437,,1625987,SPCC663.01c,ekc1,SPCC663.01c.1,SPCC663.01c.1:pep
I,-1,950120,950813,950813,950120,SPAC222.04c,ies6,SPAC222.04c.1,SPAC222.04c.1:pep
II,-1,1345112,1347969,1347969,1345112,SPBC27B12.11c,pho7,SPBC27B12.11c.1,SPBC27B12.11c.1:pep
